"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-2,433;2,433;-2,432;2,432;6,965;2,639;1,74653355980212
"x1";-0,237;0,329;-0,263;0,363;0,152;0,39;0,956914574814485
"x2";0,103;0,631;0,093;0,567;0,509;0,713;1,10588270704717
"x3";3,605;3,971;3,086;3,407;27,826;5,275;2,96589571470181
"x4";0,945;2,268;0,764;1,942;6,314;2,512;0,631865504005789
"x5";-3,165;3,165;-3,28;3,28;10,795;3,285;2,49319848154407
"x6";-2,276;2,276;-2,269;2,269;7,875;2,806;2,52699129843267
"x7";2,896;2,896;2,234;2,234;10,793;3,285;1,46100065706389
"x8";6,274;6,274;5,706;5,706;44,279;6,654;1,76502596041482
"x9";13,699;13,699;11,475;11,475;228,607;15,119;1,54229783308329
"x10";8,505;8,505;5,157;5,157;176,73;13,293;1,11842000836083
"x11";0,981;2,272;0,72;1,738;5,62;2,37;0,689695609177089
"x12";-1,37;1,37;-1,077;1,077;2,126;1,458;1,32739963695047
"x13";0,528;4,439;0,26;3,608;21,687;4,656;0,806934030985077
"x14";-0,5;0,8;-0,489;0,777;0,821;0,906;0,780156447751555
"x15";7,501;10,379;5,378;7,973;137,176;11,712;0,801856526971363
"x16";20,111;20,111;14,301;14,301;495,115;22,251;4,11542045286172
"x17";9,766;9,766;9,975;9,975;120,942;10,997;3,35001976350228
"x18";2,406;2,406;2,069;2,069;7,645;2,765;3,68400508123971
"x19";-1,423;1,925;-1,161;1,565;4,849;2,202;3,01542477283682
