"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-16,025;16,025;-12,532;12,532;283,134;16,826;3,21123767812223
"x1";0,503;0,503;0,664;0,664;0,534;0,731;1,47226503016546
"x2";1,322;1,322;1,259;1,259;2,571;1,603;0,574189944236142
"x3";17,891;17,891;16,769;16,769;335,819;18,325;6,41254597246079
"x4";-0,408;0,601;-0,446;0,657;0,425;0,652;2,52567448623582
"x5";-8,805;8,805;-13,059;13,059;98,4;9,919;1,26320432529621
"x6";-6,619;6,619;-5,39;5,39;52,923;7,274;1,42553119809595
"x7";13,151;13,151;13,273;13,273;230,825;15,192;1,46818519008616
"x8";-3,289;3,289;-3,634;3,634;10,871;3,297;1,70871229873937
"x9";-7,723;7,723;-8,01;8,01;61,549;7,845;4,32967650567707
"x10";-3,852;3,852;-3,393;3,393;16,006;4;2,71804623930822
"x11";-3,256;3,256;-3,325;3,325;10,916;3,304;3,51549689155404
"x12";2,758;3,982;2,275;3,407;24,262;4,925;0,98897682590206
"x13";-8,628;8,628;-8,818;8,818;91,743;9,578;1,46953109951629
"x14";0,24;4,276;0,028;4,368;24,755;4,975;0,644393285539589
"x15";-5,988;5,988;-7,157;7,157;45,223;6,724;2,11777721041859
"x16";9,456;9,456;9,5;9,5;97,175;9,857;8,2821976336443
"x17";46,516;46,516;23,572;23,572;2586,462;50,857;1,8984969409306
"x18";6,019;6,019;4,581;4,581;49,073;7,005;1,41307101509756
"x19";0,877;1,672;0,7;1,358;2,912;1,706;0,628830916812698
"x20";-10,929;10,929;-9,888;9,888;120,372;10,971;8,14004492098679
"x21";-19,225;19,225;-17,746;17,746;679,198;26,061;2,05682636219266
"x22";3,308;3,308;3,429;3,429;11,123;3,335;4,14752199882977
"x23";-9,331;9,331;-10,545;10,545;123,049;11,092;3,46367716104928
"x24";4,267;4,267;3,776;3,776;22,125;4,703;2,24158861190971
"x25";3,094;3,094;3,175;3,175;11,572;3,401;1,32113695081809
"x26";-2,105;2,105;-2,029;2,029;4,555;2,134;5,07807880916763
"x27";-4,155;5,228;-4,787;5,901;33,93;5,824;1,14384363115561
"x28";1,632;4,593;1,539;4,408;21,764;4,665;1,67978244234869
