"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-1,899;1,899;-1,892;1,892;5,031;2,243;2,22103687503007
"x1";2,533;2,599;1,977;2,031;14,926;3,863;1,0064068933882
"x2";0,866;0,866;0,693;0,693;0,86;0,927;2,98334448073421
"x3";-0,766;0,899;-0,739;0,865;1,056;1,027;0,863599253760808
"x4";-0,567;0,6;-0,509;0,538;0,662;0,813;1,26058759816575
"x5";2,288;2,338;1,982;2,026;8,427;2,903;1,93394776620197
"x6";0,433;1,733;0,336;1,418;3,378;1,838;1,16561995958216
"x7";-3,834;3,834;-3,734;3,734;15,933;3,991;2,07984052881694
"x8";-1,001;1,066;-0,931;0,991;1,981;1,407;1,65148866909865
"x9";-1;1;-0,881;0,881;1,072;1,035;2,22498501366556
"x10";1,932;1,932;1,656;1,656;3,762;1,939;8,14857008674494
"x11";-2,866;2,866;-2,302;2,302;8,818;2,969;23,0021312271803
"x12";2,361;2,361;1,985;1,985;12,064;3,473;1,30660493127772
"x13";1,629;1,629;1,257;1,257;4,011;2,002;1,44293138038795
"x14";-0,533;0,533;-1,626;1,626;0,3;0,547;1,50001642157084
"x15";0,999;0,999;0,758;0,758;2,166;1,471;0,908198564803041
"x16";-1,031;1,799;-0,885;1,508;3,519;1,875;0,770773350459189
"x17";0,266;0,8;0,234;0,716;0,646;0,804;0,597180229107178
"x18";0,199;0,933;0,18;0,885;1,166;1,079;0,890738053505659
"x19";-1,699;1,699;-1,32;1,32;4,886;2,21;0,995198550992177
"x20";0,963;2,232;0,747;1,827;7,703;2,775;0,93122874530086
"x21";3,414;3,414;2,256;2,256;16,051;4,006;1,22269520049227
"x22";-4,869;4,869;-4,058;4,058;26,089;5,107;3,57323896426935
"x23";2,099;2,099;1,825;1,825;6,577;2,564;1,75449235369434
"x24";2,5;2,5;2,249;2,249;7,546;2,747;3,1105575412209
"x25";1,234;1,234;1,135;1,135;1,531;1,237;5,94403043010803
"x26";-0,467;1,3;-0,468;1,272;1,761;1,327;1,19522740411806
"x27";0,533;0,705;0,516;0,684;0,845;0,919;3,12391253186142
