"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-0,557;0,816;-0,56;0,815;0,775;0,88;0,582752117459121
"x1";0,066;0,199;0,072;0,22;0,06;0,244;0,600000000000004
"x2";2,099;2,099;1,885;1,885;4,576;2,139;3,31421182183637
"x3";0,247;1,204;0,198;1,037;1,931;1,389;0,781395072617941
"x4";3,414;3,76;2,876;3,183;19,823;4,452;1,11952618057579
"x5";-7,603;7,603;-7,868;7,868;58,486;7,647;5,80324259893955
"x6";-1,655;1,655;-1,648;1,648;3,902;1,975;1,77871089992971
"x7";4,69;4,69;3,628;3,628;24,959;4,995;2,22168692879042
"x8";7,166;7,166;6,52;6,52;56,969;7,547;2,00205101212718
"x9";6,591;6,591;5,393;5,393;77,679;8,813;0,899033481696879
"x10";5,566;6,833;3,278;4,142;116,523;10,794;0,908146388879138
"x11";0,394;2,683;0,26;2,066;7,678;2,771;0,806101653616956
"x12";0,14;0,267;0,109;0,209;0,108;0,329;0,300087507274162
"x13";-0,136;4,208;-0,276;3,443;21,318;4,617;0,800033235961523
"x14";-0,6;0,8;-0,585;0,777;0,9;0,948;0,81649658092773
"x15";12,866;14,2;9,539;10,741;280,226;16,739;1,14607172876506
"x16";12,266;12,266;8,736;8,736;178,42;13,357;2,47048714375931
"x17";0,822;1,811;0,791;1,866;4,217;2,053;0,62560975179721
"x18";1,289;1,289;1,109;1,109;2,172;1,473;1,96379320380108
"x19";-0,526;1,473;-0,432;1,195;2,274;1,508;2,06506783691261
