"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-6,526;6,526;-5,113;5,113;49,936;7,066;1,34859985389174
"x1";0,67;0,67;0,886;0,886;0,798;0,893;1,79949804401246
"x2";-3,231;3,477;-3,199;3,429;17,882;4,228;1,51412709100842
"x3";4,215;4,215;3,932;3,932;20,49;4,526;1,58399344548051
"x4";-1,4;1,4;-1,528;1,528;1,986;1,409;5,45893762558263
"x5";-12,633;12,633;-18,64;18,64;189,156;13,753;1,75140098361438
"x6";1,233;2,966;0,924;2,371;12,87;3,587;0,702976793864595
"x7";-8,768;8,768;-9,453;9,453;95,257;9,76;0,943168593370222
"x8";-7,687;7,687;-8,52;8,52;61,737;7,857;4,07199191232743
"x9";-3,853;3,853;-4,01;4,01;16,263;4,032;2,22562829776154
"x10";-7,8;7,8;-6,881;6,881;62,006;7,874;5,34962256037391
"x11";-5,515;5,515;-5,629;5,629;30,713;5,541;5,89660024875749
"x12";2,974;4,513;2,442;3,866;30,881;5,557;1,11574562920682
"x13";-10,965;10,965;-11,174;11,174;139,722;11,82;1,81352633019548
"x14";-3,462;3,487;-3,703;3,727;31,918;5,649;0,731702105987595
"x15";-4,433;4,433;-5,311;5,311;26,376;5,135;1,61736445138226
"x16";0,686;1,054;0,686;1,059;1,282;1,132;0,951557262635583
"x17";39,954;39,954;20,11;20,11;1999,753;44,718;1,66934059164293
"x18";8,466;8,466;6,457;6,457;92,126;9,598;1,93611517670964
"x19";3,166;3,166;2,559;2,559;13,123;3,622;1,33470894347828
"x20";-9,7;9,7;-8,775;8,775;94,696;9,731;7,21987572639496
"x21";-0,341;9,787;-1,214;8,562;111,86;10,576;0,834712220685632
"x22";-0,631;0,65;-0,658;0,678;0,898;0,947;1,17868940059052
"x23";-8,874;8,874;-9,93;9,93;88,759;9,421;2,94174199758941
"x24";3,748;3,748;3,316;3,316;17,26;4,154;1,97984286833289
"x25";-1,259;2,328;-1,336;2,412;5,897;2,428;0,943114036257151
"x26";0,256;0,256;0,247;0,247;0,108;0,329;0,783115338099345
"x27";-4,366;5,233;-5,017;5,917;35,183;5,931;1,16476770414845
"x28";-6,353;6,353;-6,1;6,1;41,496;6,441;2,31945186777252
