"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-0,654;1,093;-0,658;1,088;1,585;1,259;1,24662457775686
"x1";2,24;2,502;1,741;1,955;14,141;3,76;0,979587340184516
"x2";0,557;0,557;0,445;0,445;0,389;0,623;2,00614753038272
"x3";-0,555;0,893;-0,536;0,858;0,906;0,952;0,800068948873357
"x4";-0,565;0,565;-0,507;0,507;0,571;0,755;1,1710573582245
"x5";1,146;1,514;0,989;1,316;2,854;1,689;1,12556518799214
"x6";0,303;1,733;0,23;1,419;3,471;1,863;1,18149357451366
"x7";-1,709;1,984;-1,677;1,941;5,539;2,353;1,22633506387151
"x8";-1,195;1,195;-1,108;1,108;1,78;1,334;1,56513087140256
"x9";-0,966;0,966;-0,851;0,851;1,127;1,061;2,28099848968941
"x10";1,594;1,594;1,366;1,366;2,571;1,603;6,73657479731802
"x11";-1,287;1,287;-1,034;1,034;1,751;1,323;10,2499310706885
"x12";2,214;2,214;1,868;1,868;8,963;2,993;1,12624894970397
"x13";0,679;0,696;0,521;0,534;1,234;1,11;0,800303622605399
"x14";0,373;0,373;1,14;1,14;0,146;0,382;1,0481327352129
"x15";0,237;0,748;0,176;0,571;0,771;0,878;0,542090423296382
"x16";-0,668;2,016;-0,588;1,683;4,288;2,07;0,850910288219597
"x17";1,312;1,312;1,173;1,173;2,11;1,452;1,07877720829848
"x18";0,552;0,788;0,518;0,745;1,215;1,102;0,909243732844413
"x19";-0,146;1,226;-0,128;0,947;1,86;1,364;0,614146868792874
"x20";2,535;2,535;2,06;2,06;11,126;3,335;1,11913477504154
"x21";2,635;2,635;1,739;1,739;10,578;3,252;0,992593715656101
"x22";-2,066;2,066;-1,725;1,725;4,953;2,225;1,55696613845022
"x23";1,6;1,6;1,389;1,389;4,206;2,051;1,40313889260831
"x24";1,215;1,215;1,092;1,092;2,133;1,46;1,65387754667461
"x25";1,533;1,533;1,409;1,409;2,393;1,547;7,43174065954735
"x26";-0,752;1,162;-0,745;1,14;1,515;1,231;1,10859186059755
"x27";0,13;0,21;0,126;0,204;0,058;0,242;0,823081729552426
