"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-3,159;3,159;-3,156;3,156;11,043;3,323;2,19923881206878
"x1";0,037;0,208;0,04;0,229;0,056;0,238;0,584521523275312
"x2";-0,111;0,64;-0,099;0,575;0,423;0,65;1,00772120796138
"x3";0,454;2,117;0,364;1,825;6,465;2,542;1,42965185149797
"x4";0,512;2,184;0,391;1,878;5,938;2,436;0,612744756417267
"x5";-3,014;3,014;-3,124;3,124;9,862;3,14;2,38308833753699
"x6";-2,591;2,591;-2,579;2,579;9,206;3,034;2,73218484850243
"x7";1,999;1,999;1,536;1,536;6,395;2,529;1,12466161632345
"x8";6,62;6,62;6,023;6,023;48,811;6,986;1,85315629666634
"x9";15,412;15,412;12,943;12,943;272,844;16,518;1,68492677894931
"x10";11,714;11,714;7,246;7,246;242,362;15,567;1,30973107249322
"x11";0,571;2,142;0,404;1,645;5,011;2,238;0,651235682975102
"x12";-2,793;2,793;-2,196;2,196;8,05;2,837;2,58299475779185
"x13";-0,4;4,133;-0,489;3,392;21,603;4,647;0,805377032260889
"x14";-0,449;0,783;-0,44;0,76;0,773;0,879;0,757061070580756
"x15";6,367;10,269;4,45;7,969;125,496;11,202;0,766960985751225
"x16";22,468;22,468;16,025;16,025;584,439;24,175;4,47126760360709
"x17";15,244;15,244;15,658;15,658;261,391;16,167;4,92497350972077
"x18";2,521;2,521;2,169;2,169;7,921;2,814;3,7498377959339
"x19";-1,356;1,741;-1,106;1,415;4,035;2,008;2,75087390434739
