"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-14,593;14,593;-11,417;11,417;237,263;15,403;2,93962137675559
"x1";1,245;1,245;1,646;1,646;1,833;1,354;2,72632116377235
"x2";4,171;4,171;4,02;4,02;18,159;4,261;1,52583352664472
"x3";20,206;20,206;18,941;18,941;422,689;20,559;7,19429237014778
"x4";-0,044;0,48;-0,048;0,524;0,26;0,51;1,97725080741408
"x5";-6,584;6,584;-9,86;9,86;62,394;7,898;1,00588133185872
"x6";-10,435;10,435;-8,479;8,479;117,637;10,846;2,12532537511481
"x7";18,956;18,956;19,347;19,347;420,019;20,494;1,98049626421197
"x8";-5,09;5,09;-5,634;5,634;26,482;5,146;2,66693431414744
"x9";-9,193;9,193;-9,534;9,534;86,233;9,286;5,1248296460044
"x10";-3,297;3,297;-2,904;2,904;11,914;3,451;2,344964551826
"x11";-3,155;3,155;-3,221;3,221;10,263;3,203;3,40873382013696
"x12";2,568;3,954;2,106;3,388;23,589;4,856;0,975166195942969
"x13";-9,585;9,585;-9,779;9,779;109,56;10,467;1,60589908149
"x14";1,754;4,814;1,554;4,845;27,801;5,272;0,682889883158293
"x15";-6,19;6,19;-7,389;7,389;46,715;6,834;2,15243521786746
"x16";12,268;12,268;12,325;12,325;157,446;12,547;10,5422310901352
"x17";48,464;48,464;24,626;24,626;2759,101;52,527;1,96083288895578
"x18";6,849;6,849;5,223;5,223;60,46;7,775;1,56846423591723
"x19";-0,103;1,338;-0,098;1,095;2,131;1,46;0,537966877029312
"x20";-10,918;10,918;-9,877;9,877;119,917;10,95;8,12462922503241
"x21";-27,237;27,237;-24,512;24,512;1055,119;32,482;2,56359979534313
"x22";3,731;3,731;3,869;3,869;14,106;3,755;4,67057924303212
"x23";-9,37;9,37;-10,561;10,561;116,023;10,771;3,36333828259252
"x24";4,468;4,468;3,955;3,955;23,874;4,886;2,32849139603477
"x25";2,942;2,942;3,013;3,013;10,687;3,269;1,26965824312093
"x26";-2,202;2,202;-2,122;2,122;4,978;2,231;5,30840829975036
"x27";-4,057;5,196;-4,678;5,862;33,129;5,755;1,13026034816426
"x28";1,987;3,938;1,879;3,77;16,145;4,018;1,44679562190064
