"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-2,168;2,168;-2,159;2,159;6,132;2,476;2,45199876749784
"x1";2,333;2,533;1,816;1,98;13,952;3,735;0,973026419205623
"x2";0,434;0,454;0,347;0,363;0,296;0,544;1,75164723859213
"x3";-0,866;0,933;-0,834;0,898;1,219;1,104;0,927959908101815
"x4";-0,617;0,617;-0,554;0,554;0,721;0,849;1,31613228766305
"x5";2,579;2,579;2,236;2,236;9,997;3,161;2,10639059370404
"x6";0,083;1,616;0,05;1,325;3,197;1,788;1,13396144007608
"x7";-4,355;4,355;-4,239;4,239;20,197;4,494;2,34168306364228
"x8";-1,231;1,231;-1,143;1,143;2,441;1,562;1,83305861436766
"x9";-1,15;1,15;-1,013;1,013;1,395;1,181;2,53795362395092
"x10";2,166;2,166;1,857;1,857;4,721;2,172;9,1276251660075
"x11";-3,61;3,61;-2,901;2,901;13,562;3,682;28,5264262557434
"x12";1,187;1,879;0,979;1,582;7,265;2,695;1,01396186973402
"x13";1,478;1,478;1,139;1,139;3,544;1,882;1,35629844440083
"x14";-0,857;0,857;-2,612;2,612;0,75;0,866;2,37248328647068
"x15";0,699;0,899;0,528;0,683;1,656;1,287;0,794150019638089
"x16";-0,13;1,706;-0,137;1,418;3,312;1,819;0,747767170499477
"x17";-0,016;0,705;-0,019;0,633;0,575;0,758;0,563463132161291
"x18";0,244;0,918;0,223;0,87;1,185;1,088;0,897860992917694
"x19";-0,136;1,942;-0,129;1,499;4,598;2,144;0,965464749744005
"x20";0,563;2,1;0,415;1,724;7,093;2,663;0,893590830682536
"x21";3,098;3,098;2,045;2,045;14,059;3,749;1,14434553795026
"x22";-5,783;5,783;-4,818;4,818;35,722;5,976;4,18120631199174
"x23";2,038;2,038;1,772;1,772;6,3;2,51;1,71716151916358
"x24";3,302;3,302;2,973;2,973;12,288;3,505;3,96915165214544
"x25";1,084;1,084;0,997;0,997;1,183;1,087;5,22613641747048
"x26";-0,69;1,321;-0,686;1,295;1,867;1,366;1,23065623140953
"x27";-0,032;0,487;-0,033;0,473;0,283;0,532;1,80848636255292
