"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-0,794;1,087;-0,799;1,087;1,393;1,18;0,781228902271872
"x1";0,066;0,2;0,072;0,22;0,059;0,244;0,599933105839742
"x2";2,038;2,038;1,83;1,83;4,321;2,078;3,22062250030082
"x3";-1,831;1,934;-1,607;1,695;5,362;2,315;1,30195960996746
"x4";3,431;3,766;2,89;3,188;19,94;4,465;1,12282422527258
"x5";-5,724;5,724;-5,925;5,925;33,438;5,782;4,3879728186165
"x6";-1,655;1,655;-1,648;1,648;3,901;1,975;1,77863599183734
"x7";5,019;5,019;3,884;3,884;28,195;5,309;2,36132011303595
"x8";3,132;3,132;2,825;2,825;15,108;3,886;1,0310087713204
"x9";7,202;7,202;5,922;5,922;83,988;9,164;0,934830235651364
"x10";3,122;7,648;1,686;4,759;95,283;9,761;0,821217176136134
"x11";-1,42;1,962;-1,126;1,534;7,343;2,709;0,788349345263246
"x12";-0,253;0,528;-0,201;0,416;0,334;0,578;0,526391737402135
"x13";1,771;5,845;1,221;4,708;36,714;6,059;1,04991558844999
"x14";-0,6;0,8;-0,585;0,777;0,9;0,948;0,816507498286915
"x15";12,866;14,2;9,539;10,741;280,231;16,74;1,14608173611289
"x16";11,105;11,105;7,895;7,895;151,283;12,299;2,27487383866429
"x17";-0,364;2,7;-0,486;2,841;9,974;3,158;0,962076213428696
"x18";0,519;0,727;0,444;0,626;0,637;0,798;1,06390500756653
"x19";-0,275;0,75;-0,226;0,608;0,598;0,773;1,0594094725107
