"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-0,18;0,835;-0,188;0,83;1,083;1,04;1,03051563618508
"x1";3,818;3,818;3,01;3,01;21,624;4,65;1,2113474503604
"x2";-0,313;0,313;-0,251;0,251;0,196;0,443;1,42511799293197
"x3";-1,022;1,022;-0,984;0,984;1,514;1,23;1,03385342861241
"x4";-0,132;0,363;-0,12;0,325;0,217;0,466;0,722300564819628
"x5";1,671;1,845;1,446;1,601;4,828;2,197;1,46389427246026
"x6";-1,029;1,667;-0,861;1,376;4,452;2,11;1,33808423224198
"x7";-0,652;1,172;-0,647;1,145;1,936;1,391;0,725105760468972
"x8";-1,095;1,095;-1,016;1,016;1,686;1,298;1,52355829286823
"x9";-0,93;0,93;-0,82;0,82;0,917;0,957;2,05803536788526
"x10";-0,277;0,397;-0,238;0,34;0,285;0,534;2,24426124440919
"x11";-2,198;2,198;-1,766;1,766;5,186;2,277;17,6403421145296
"x12";2,613;2,613;2,208;2,208;11,453;3,384;1,27307150326605
"x13";1,046;1,046;0,806;0,806;1,914;1,383;0,996848626022567
"x14";0,259;0,397;0,777;1,204;0,182;0,427;1,17061429843199
"x15";0,689;0,896;0,522;0,682;1,275;1,129;0,696842757940245
"x16";-0,686;2,029;-0,603;1,694;4,346;2,084;0,856626827050628
"x17";0,698;0,944;0,621;0,843;1,102;1,05;0,779768713658337
"x18";0,18;0,749;0,164;0,711;0,775;0,88;0,726373548930444
"x19";1,417;1,936;1,07;1,476;4,42;2,102;0,946620258452498
"x20";1,975;2,579;1,586;2,1;10,739;3,277;1,09950865790634
"x21";2,893;2,893;1,911;1,911;12,048;3,471;1,0593293131844
"x22";-2,03;2,03;-1,694;1,694;4,803;2,191;1,53319091504097
"x23";2,005;2,005;1,744;1,744;5,667;2,38;1,62860186136786
"x24";0,407;0,474;0,364;0,424;0,58;0,762;0,862949497495088
"x25";0,086;0,086;0,079;0,079;0,014;0,118;0,570211403886525
"x26";-0,614;1,114;-0,61;1,092;1,323;1,15;1,03601960298882
"x27";0,296;0,296;0,287;0,287;0,13;0,361;1,22901741907075
