"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";0,355;2,382;0,288;2,409;6,646;2,577;0,592807107860114
"x1";-0,066;0,367;-0,081;0,425;0,272;0,522;0,441626442548953
"x2";0,154;1,514;0,128;1,48;2,552;1,597;0,532534732617002
"x3";2,476;2,563;2,037;2,11;10,57;3,251;2,47618581477033
"x4";0,19;5,387;-0,083;4,631;34,656;5,886;0,682809933142242
"x5";3,551;3,551;4,098;4,098;14,516;3,81;2,1332438137383
"x6";1,026;4,896;0,793;5,021;27,317;5,226;0,672090638203891
"x7";-0,173;0,86;-0,139;0,647;0,78;0,883;0,516473120056883
"x8";0,158;1,518;0,106;1,387;3,575;1,89;0,506977965886393
"x9";0,377;3,116;0,287;2,796;13,701;3,701;0,686189727004993
"x10";11,255;11,255;7,32;7,32;164,866;12,84;1,16849162325052
"x11";-2,415;2,415;-1,884;1,884;8,547;2,923;1,11429090322735
"x12";10,084;10,438;7,717;8,022;165,685;12,871;1,94823225730857
"x13";-4,541;4,541;-4,114;4,114;36,697;6,057;1,5930642493265
"x14";1,644;1,644;1,621;1,621;5,827;2,413;1,49651674127627
"x15";-2,523;5,02;-2,024;3,878;30,625;5,533;2,15084983022979
"x16";12,072;12,072;8,827;8,827;172,239;13,123;1,71471279516686
"x17";17,637;17,637;20,156;20,156;336,805;18,352;3,43962687944884
"x18";0,849;1,075;0,752;0,955;1,276;1,129;1,05463304728518
"x19";0,071;1,547;0,035;1,269;3,463;1,861;0,589977542580231
