"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-0,027;2,265;-0,035;1,652;7,193;2,682;0,592938908497249
"x1";2,553;2,612;3,398;3,479;12,225;3,496;1,69366278472002
"x2";11,713;11,713;11,254;11,254;139,101;11,794;7,2450669358294
"x3";-0,803;3,136;-0,996;3,35;12,931;3,595;0,64085649913046
"x4";-0,903;1,277;-1,029;1,448;1,985;1,408;0,902709912346879
"x5";6,814;7,031;7,76;8,057;84,492;9,191;1,15648693886718
"x6";-5,866;5,866;-4,587;4,587;44,274;6,653;1,87497487511601
"x7";17,942;17,942;16,546;16,546;342,329;18,502;3,06140784387315
"x8";4,861;5,877;5,056;6,202;39,179;6,259;1,38058165410275
"x9";-11,209;11,209;-11,661;11,661;133,417;11,55;3,28307575348017
"x10";-1,388;2,499;-1,156;2,026;8,999;2,999;0,701784318950358
"x11";-0,303;1,165;-0,331;1,18;2,997;1,731;0,972483433187342
"x12";2,739;2,739;2,551;2,551;25,773;5,076;1,50586180211032
"x13";15,447;15,447;14,81;14,81;282,819;16,817;3,91840811571423
"x14";16,773;16,773;15,612;15,612;326,985;18,082;4,31520913584452
"x15";-0,511;1,351;-0,607;1,548;2,277;1,509;1,1894569708155
"x16";-0,158;1,572;-0,173;1,487;3,021;1,738;0,933089171374735
"x17";0,385;13,74;-1,034;10,572;263,853;16,243;1,47820338680643
"x18";0,499;1,095;0,378;0,858;1,378;1,173;0,518030377909166
"x19";-11,789;11,789;-8,897;8,897;160,275;12,659;1,98579989409933
"x20";-0,28;0,842;-0,268;0,767;1,001;1;0,406421632820939
"x21";-20,285;20,285;-17,86;17,86;425,514;20,627;3,39003109565023
"x22";8,204;8,204;7,831;7,831;86,174;9,283;3,56933043585506
"x23";-10,707;10,707;-12,243;12,243;135,419;11,636;5,58722221912158
"x24";-0,06;0,617;-0,052;0,505;0,437;0,661;0,981970031904911
"x25";4,587;4,587;4,539;4,539;27,73;5,265;2,32092035779261
"x26";0,575;1,369;0,549;1,364;2,733;1,653;0,772502050729521
"x27";-5,049;6,277;-5,033;6,096;67,085;8,19;1,00987159003001
"x28";-2,943;8,5;-3,029;8,162;97,265;9,862;1,25551604840229
