"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-6,052;6,052;-5,797;5,797;43,983;6,631;1,70964108362097
"x1";6,301;6,301;5,35;5,35;53,567;7,318;3,21702348298475
"x2";-0,47;2,744;-0,461;2,308;10,836;3,291;0,601380517256364
"x3";-19,305;19,305;-18,468;18,468;455,086;21,332;1,93134592139321
"x4";-16,598;16,598;-14,907;14,907;347,784;18,648;2,76495353777637
"x5";0,064;0,722;0,049;0,598;0,582;0,763;0,633599686122245
"x6";-3,884;7,411;-3,407;6,063;71,431;8,451;0,70215365414736
"x7";-4,816;4,816;-5,141;5,141;48,97;6,997;1,06244061281827
"x8";-0,357;2,404;-0,415;2,348;8,688;2,947;0,704988041745487
"x9";-10,122;10,122;-9,189;9,189;142,539;11,938;1,20850197353423
"x10";-0,251;1,312;-0,236;1,112;2,753;1,659;0,663007721251167
"x11";-1,259;4,957;-1,357;4,183;53,491;7,313;0,69641833034485
"x12";-7,204;7,204;-6,655;6,655;75,089;8,665;1,52679841799556
"x13";-9,412;9,412;-7,456;7,456;124,616;11,163;1,55715441784124
"x14";-0,31;0,31;-0,993;0,993;0,121;0,347;0,806899429933612
"x15";-0,057;0,587;-0,047;0,464;0,43;0,655;0,668069439731562
"x16";2,178;2,178;1,912;1,912;6,718;2,591;1,18332595624391
"x17";-2,399;6,498;-2,563;6,093;48,566;6,968;0,909477239113299
"x18";-7,416;7,825;-8,071;8,437;122,954;11,088;0,82355124596064
"x19";3,061;3,061;2,272;2,272;12,128;3,482;1,62201484034156
"x20";-0,344;2,556;-0,331;2,317;8,731;2,954;0,860359689336567
"x21";0,481;2,166;0,297;1,428;9,616;3,1;1,1028667399246
"x22";4,126;11,066;2,467;9,131;176,459;13,283;1,34990907381196
"x23";-2,879;5,028;-3,138;5,056;46,433;6,814;0,757194219156031
"x24";-0,55;1,17;-0,485;1,013;2,037;1,427;0,751297785597742
"x25";0,332;1,917;0,243;1,725;5,574;2,36;0,75736313505487
"x26";-2,932;4,151;-2,7;3,743;17,68;4,204;1,40193715366922
"x27";-11,563;11,563;-11,332;11,332;192,349;13,868;1,3421975756827
