"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";0,564;1,688;0,529;1,69;7,084;2,661;0,612047482949592
"x1";-0,36;0,818;-0,421;0,943;0,715;0,845;0,715501177981046
"x2";1,89;2,037;1,822;1,969;6,014;2,452;0,817462432255285
"x3";1,583;1,816;1,305;1,5;4,139;2,034;1,5495180391913
"x4";3,704;5,097;2,968;4,234;40,738;6,382;0,740301332602743
"x5";-3,167;3,167;-3,712;3,712;14,283;3,779;2,11602893760497
"x6";2,18;4,94;1,994;5,009;28,606;5,348;0,687760196749818
"x7";4,12;4,12;3,062;3,062;22,428;4,735;2,76858660155953
"x8";10,059;10,059;8,938;8,938;114,962;10,722;2,87464041326845
"x9";7,582;7,582;6,626;6,626;67,492;8,215;1,52293115171055
"x10";13,06;13,06;8,524;8,524;207,754;14,413;1,31170062078494
"x11";-0,391;1,068;-0,315;0,831;2,206;1,485;0,566169732023936
"x12";6,019;7,46;4,53;5,77;78,921;8,883;1,34461195394747
"x13";1,456;1,728;1,258;1,51;5,312;2,304;0,606113638455482
"x14";-1,04;1,32;-1,048;1,322;2,519;1,587;0,984116751289753
"x15";-5,3;5,3;-4,118;4,118;38,562;6,209;2,41351932428579
"x16";3,087;5,881;2,166;4,297;45,406;6,738;0,880411386693388
"x17";11,78;11,78;13,44;13,44;150,35;12,261;2,29812283269761
"x18";-0,067;0,404;-0,063;0,362;0,338;0,581;0,542914422526127
"x19";0,555;2,008;0,419;1,647;6,679;2,584;0,819339278465417
