"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";1,403;2,587;0,995;1,884;8,122;2,849;0,630058724673092
"x1";2,486;2,555;3,308;3,403;11,763;3,429;1,66135727297577
"x2";-0,235;2,383;-0,28;2,297;7,198;2,683;1,64820698238426
"x3";-8,089;8,089;-8,778;8,778;77,958;8,829;1,573524293378
"x4";-2,24;2,24;-2,539;2,539;5,8;2,408;1,54303349962092
"x5";9,46;9,46;10,932;10,932;135,51;11,64;1,46459141669458
"x6";-2,88;2,88;-2,277;2,277;15,652;3,956;1,1148156970688
"x7";14,768;14,768;13,601;13,601;235,545;15,347;2,53943268306973
"x8";-0,16;2,844;-0,266;3,025;8,62;2,936;0,647601090992107
"x9";-0,463;1,265;-0,513;1,316;2,236;1,495;0,425088906559287
"x10";-2,315;2,61;-1,891;2,121;11,594;3,405;0,796554276614898
"x11";-5,167;5,167;-5,176;5,176;27,628;5,256;2,95222101738888
"x12";-4,649;4,649;-4,481;4,481;28,445;5,333;1,581975760182
"x13";8,28;8,28;7,928;7,928;82,22;9,067;2,11272963081944
"x14";1,719;3,533;1,522;3,268;16,713;4,088;0,975594952406165
"x15";-1,7;1,7;-1,96;1,96;4,738;2,176;1,71547577740321
"x16";5,889;5,889;5,555;5,555;36,793;6,065;3,25626770771951
"x17";-12,329;14,325;-10,503;11,831;341,598;18,482;1,68194086689988
"x18";-6,239;6,239;-4,958;4,958;45,647;6,756;2,98124981631693
"x19";-5,717;6,727;-4,411;5,138;68,585;8,281;1,29902637409524
"x20";3,886;4,057;3,392;3,552;27,759;5,268;2,13956950542574
"x21";-4,746;8,261;-4,361;7,242;79,164;8,897;1,46221449333318
"x22";7,977;7,977;7,619;7,619;80,137;8,951;3,44203088758376
"x23";-7,716;7,716;-8,835;8,835;71,614;8,462;4,0630962039227
"x24";0,614;1,911;0,507;1,565;4,41;2,1;3,11680580354126
"x25";5,581;5,581;5,499;5,499;33,347;5,774;2,54513256828535
"x26";-0,007;0,988;-0,027;0,994;1,711;1,308;0,611383257095283
"x27";1,136;6,109;0,7;5,794;48,208;6,943;0,856081154573868
"x28";-6,417;6,417;-6,34;6,34;66,205;8,136;1,0358381616854
