"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-1,513;3,142;-1,584;3,066;19,552;4,421;1,13987770313973
"x1";3,15;3,227;2,663;2,731;15,648;3,955;1,73874532923121
"x2";-3,859;4,5;-3,317;3,832;24,158;4,915;0,897935390078459
"x3";-9,24;11,64;-9,232;11,168;169,3;13,011;1,17798956744217
"x4";-6,019;7,75;-5,57;6,976;76,279;8,733;1,29489637289194
"x5";0,846;1,435;0,693;1,185;2,759;1,661;1,37853345500356
"x6";-12,36;12,36;-10,252;10,252;202,876;14,243;1,18331978366822
"x7";-3,022;3,061;-3,284;3,323;27,895;5,281;0,8018616426012
"x8";-1,751;2,393;-1,755;2,359;9,268;3,044;0,728147071699123
"x9";4,306;10,499;3,123;9,266;119,595;10,935;1,10697293933307
"x10";7,212;7,212;6,109;6,109;57,378;7,574;3,02655205311907
"x11";4,537;8,01;3,308;6,417;69,568;8,34;0,794205468050876
"x12";-5,479;5,716;-5,091;5,294;50,485;7,105;1,25191836882782
"x13";-8,397;8,397;-6,538;6,538;93,478;9,668;1,34864882769664
"x14";0,192;0,404;0,593;1,29;0,184;0,429;0,996939843984064
"x15";-0,419;0,619;-0,334;0,491;0,621;0,788;0,803260988575716
"x16";1,38;1,82;1,203;1,601;4,093;2,023;0,923727338963528
"x17";-5,36;7,04;-5,302;6,728;71,616;8,462;1,10440102071277
"x18";-0,972;8,073;-1,816;8,202;87,412;9,349;0,694390259943047
"x19";2,46;2,46;1,824;1,824;8,254;2,872;1,33807904529342
"x20";-7,08;7,08;-6,463;6,463;59,452;7,71;2,24499745298741
"x21";-0,38;1,78;-0,269;1,182;4,346;2,084;0,741423685695361
"x22";1,861;10,98;0,516;9,268;149,271;12,217;1,2415659258686
"x23";-5,483;7,02;-5,696;7,048;77,778;8,819;0,9799835658543
"x24";-0,115;1,105;-0,111;0,956;1,754;1,324;0,69706980724712
"x25";1,58;2,82;1,348;2,51;11,27;3,357;1,07689537222742
"x26";-2,18;3,5;-2,018;3,148;12,278;3,503;1,1682588809017
"x27";4,547;6,568;3,853;5,945;72,11;8,491;0,821809643954433
