"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";0,013;2,451;-0,06;2,489;6,522;2,553;0,587288527123055
"x1";-0,129;0,569;-0,16;0,656;0,553;0,744;0,629276914102395
"x2";0,051;1,497;0,027;1,465;2,477;1,574;0,52472149396485
"x3";3,087;3,087;2,542;2,542;13,14;3,624;2,76081899421172
"x4";-0,733;5,214;-0,876;4,518;35,402;5,949;0,690117085759674
"x5";0,755;1,59;0,828;1,821;3,081;1,755;0,98278108620951
"x6";0,514;4,247;0,299;4,376;20,734;4,553;0,585545120574368
"x7";-0,454;1,154;-0,357;0,874;1,789;1,337;0,78198327135413
"x8";-0,906;2,53;-0,909;2,299;11,925;3,453;0,925856489577215
"x9";0,592;2,809;0,47;2,507;10,184;3,191;0,591593895278005
"x10";10,842;10,931;7,045;7,109;155,606;12,474;1,1352045052034
"x11";-2,885;2,885;-2,248;2,248;10,935;3,306;1,26034940768439
"x12";4,685;6,347;3,496;4,928;55,666;7,46;1,12926212402283
"x13";-1,386;2,386;-1,29;2,153;8,91;2,984;0,784979614986297
"x14";1,304;1,304;1,281;1,281;4,412;2,1;1,30227080856649
"x15";-7,903;7,903;-6,085;6,085;66,014;8,124;3,15785343938351
"x16";13,176;13,176;9,636;9,636;200,363;14,154;1,84941798308518
"x17";19,585;19,585;22,404;22,404;409,316;20,231;3,7918485412976
"x18";1,134;1,251;1,006;1,112;1,852;1,36;1,2702155976549
"x19";-0,189;1,578;-0,184;1,297;3,656;1,912;0,606182438599365
