"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";0,27;2,288;0,171;1,673;6,503;2,55;0,563788769244869
"x1";3,198;3,198;4,274;4,274;15,844;3,98;1,92813938583667
"x2";12,03;12,03;11,55;11,55;145,68;12,069;7,41444220793813
"x3";-0,429;2,957;-0,598;3,144;12,777;3,574;0,63704390978806
"x4";-0,468;1,042;-0,539;1,18;1,383;1,176;0,753558664471652
"x5";6,185;6,658;6,987;7,636;76,352;8,737;1,09936599046689
"x6";-8,512;8,512;-6,636;6,636;81,252;9,013;2,54001069026466
"x7";18,634;18,634;17,189;17,189;367,498;19,17;3,17195316272609
"x8";4,976;5,681;5,186;5,981;38,111;6,173;1,36162340830114
"x9";-12,886;12,886;-13,4;13,4;173,865;13,185;3,74783862433391
"x10";-3,098;3,098;-2,52;2,52;15,397;3,923;0,917914611644493
"x11";-0,353;1,181;-0,379;1,195;2,745;1,656;0,930644089655573
"x12";2,463;2,604;2,281;2,418;17,926;4,233;1,25587133608889
"x13";16,63;16,63;15,963;15,963;320,912;17,914;4,17396356806609
"x14";19,078;19,078;17,787;17,787;409,898;20,245;4,83142991271453
"x15";-0,28;1,207;-0,343;1,384;1,985;1,408;1,11037361148293
"x16";0,068;1,387;0,042;1,309;2,559;1,599;0,858761929792586
"x17";1,891;13,617;0,099;10,375;272,645;16,511;1,502630315249
"x18";0,374;1,384;0,271;1,083;2,426;1,557;0,687419436911776
"x19";-14,893;14,893;-11,204;11,204;244,346;15,631;2,45191199590068
"x20";3,332;3,535;2,907;3,097;20,649;4,544;1,84533434296214
"x21";-23,057;23,057;-20,29;20,29;545,689;23,359;3,8390100165926
"x22";8,594;8,594;8,211;8,211;92,517;9,618;3,69836185412496
"x23";-12,225;12,225;-13,961;13,961;169,728;13,027;6,25507795304148
"x24";-0,05;0,659;-0,043;0,54;0,589;0,767;1,13921943730266
"x25";11,048;11,048;10,874;10,874;127,802;11,304;4,98253706610909
"x26";0,473;1,306;0,447;1,303;2,62;1,618;0,756433004407683
"x27";-5,566;6,383;-5,511;6,216;72,593;8,52;1,05051358167921
"x28";-1,901;7,096;-2,017;6,804;59,004;7,681;0,977876809407962
