"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-7,295;7,295;-6,968;6,968;60,637;7,786;2,00738444502407
"x1";6,965;6,965;5,923;5,923;62,299;7,892;3,46931728718075
"x2";-0,432;2,688;-0,426;2,262;10,101;3,178;0,580653891256733
"x3";-22,644;22,644;-21,558;21,558;595,117;24,395;2,208585865955
"x4";-14,825;14,825;-13,322;13,322;269,714;16,422;2,4349195721639
"x5";-0,028;0,72;-0,028;0,596;0,635;0,797;0,661485165587616
"x6";-1,482;6,903;-1,477;5,571;57,974;7,614;0,632563174695379
"x7";-4,058;4,221;-4,368;4,53;41,977;6,478;0,983652730514514
"x8";0,026;2,298;-0,044;2,24;8,507;2,916;0,697610471536723
"x9";-12,318;12,318;-11,101;11,101;192,071;13,858;1,40284993143593
"x10";-0,02;1,27;-0,041;1,073;2,912;1,706;0,681925214870642
"x11";-1,134;4,929;-1,251;4,152;51,634;7,185;0,684225757466253
"x12";-7,115;7,115;-6,575;6,575;73,818;8,591;1,513820867014
"x13";-10,677;10,677;-8,43;8,43;150,059;12,249;1,7087380320745
"x14";-0,051;0,105;-0,169;0,342;0,027;0,165;0,384879909297404
"x15";-0,022;0,592;-0,019;0,468;0,442;0,665;0,677450809806436
"x16";2,158;2,158;1,895;1,895;6,646;2,577;1,17693528437255
"x17";-5,234;6,999;-5,187;6,683;70,441;8,392;1,09530991423705
"x18";-8,511;8,511;-9,165;9,165;142,676;11,944;0,88714247349659
"x19";0,027;0,896;0,012;0,663;1,429;1,195;0,55693479107244
"x20";-0,333;2,369;-0,332;2,155;7,094;2,663;0,775497446965215
"x21";-0,67;2,164;-0,463;1,435;7,505;2,739;0,974356559816607
"x22";3,849;11,128;2,221;9,21;174,408;13,206;1,34203944881908
"x23";-0,878;5,433;-1,23;5,323;38,964;6,242;0,693623748609379
"x24";-1;1,44;-0,873;1,247;2,735;1,654;0,870564008208477
"x25";-0,159;1,867;-0,199;1,689;5,669;2,38;0,763780358173894
"x26";-3,183;4,301;-2,925;3,882;19,21;4,382;1,46130359123403
"x27";-12,522;12,522;-12,238;12,238;209,854;14,486;1,40194366631758
