"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";1,477;2,456;1,423;2,451;10,333;3,214;0,739187907402388
"x1";0,304;1,083;0,33;1,237;1,642;1,281;1,08390398807082
"x2";1,59;1,954;1,524;1,888;5,422;2,328;0,77617755319965
"x3";1,536;1,536;1,265;1,265;2,923;1,709;1,30224404231733
"x4";2,559;5,607;1,958;4,724;39,214;6,262;0,726322921698945
"x5";-3,197;3,197;-3,746;3,746;14,474;3,804;2,13016471158677
"x6";2,18;4,94;1,994;5,009;28,606;5,348;0,687760735314418
"x7";4,274;4,274;3,178;3,178;23,721;4,87;2,84728996635842
"x8";3,719;4,479;3,24;3,959;26,795;5,176;1,3878194006006
"x9";7,223;7,223;6,303;6,303;63,423;7,963;1,47631475234843
"x10";13,788;13,788;9,008;9,008;227,299;15,076;1,37201680299271
"x11";0,059;1,152;0,034;0,893;2,001;1,414;0,539171108288049
"x12";6,019;7,459;4,53;5,77;78,918;8,883;1,3445808878263
"x13";-1,249;2,561;-1,176;2,309;10,394;3,224;0,847857163331312
"x14";-1,04;1,32;-1,048;1,322;2,52;1,587;0,984161508554675
"x15";-5,292;5,292;-4,112;4,112;38,479;6,203;2,4109439710617
"x16";2,341;4,181;1,552;2,962;40,777;6,385;0,834329200106416
"x17";10,896;10,896;12,42;12,42;130,316;11,415;2,13954299262303
"x18";-0,644;0,644;-0,576;0,576;0,824;0,908;0,847576491488607
"x19";-2,654;3,43;-2,25;2,871;13,392;3,659;1,16014337142684
