"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-1,835;2,615;-1,411;1,969;14,782;3,844;0,849993652704464
"x1";1,615;1,928;2,13;2,563;7,461;2,731;1,32310534902958
"x2";1,489;2,441;1,381;2,319;7,332;2,707;1,66344312640736
"x3";-4,107;4,872;-4,526;5,292;29,39;5,421;0,966151701219956
"x4";-0,697;0,794;-0,797;0,906;1,268;1,126;0,721704942146537
"x5";2,658;5,3;2,588;6,207;53,086;7,286;0,916693514196967
"x6";-0,134;2,343;-0,147;1,823;6,946;2,635;0,742683653335643
"x7";0,132;3,381;-0,003;3,108;15,011;3,874;0,641086288133031
"x8";0,106;2,858;-0,012;3,059;10,975;3,312;0,730698393142202
"x9";0,116;2,063;0,063;2,137;5,405;2,324;0,660841308102552
"x10";-0,735;2,379;-0,634;1,92;7,447;2,729;0,638407289107897
"x11";-0,575;1,163;-0,601;1,179;2,693;1,641;0,921814956716016
"x12";-1,827;2,741;-1,8;2,644;10,378;3,221;0,955554398172665
"x13";3,199;4,52;2,971;4,332;26,662;5,163;1,2031051500651
"x14";2,655;3,513;2,377;3,224;21,685;4,656;1,11128893602539
"x15";-0,371;1,194;-0,447;1,369;1,986;1,409;1,11075121915131
"x16";-0,135;1,395;-0,149;1,319;2,452;1,566;0,840746015773547
"x17";-9,196;13,492;-8,117;11,001;272,793;16,516;1,50303625777104
"x18";3,028;3,161;2,345;2,452;15,881;3,985;1,75847624841179
"x19";-3,271;3,802;-2,552;2,935;30,426;5,516;0,865226095656625
"x20";-2,152;3,39;-2,038;3,11;17,29;4,158;1,68857849466631
"x21";0,401;2,879;0,239;2,449;15,533;3,941;0,647702911750536
"x22";-5,062;5,557;-5,059;5,513;40,02;6,326;2,43243878518559
"x23";0,474;1,87;0,478;2,099;4,959;2,226;1,06920501742527
"x24";-0,225;0,565;-0,187;0,463;0,39;0,625;0,927899398043617
"x25";-0,575;1,641;-0,599;1,619;3,553;1,885;0,830820137315701
"x26";-0,262;1,324;-0,289;1,331;2,707;1,645;0,768846267413793
"x27";2,018;6,115;1,476;5,64;47,782;6,912;0,852293770228087
"x28";-3,355;4,205;-3,375;4,148;28,536;5,341;0,680058150862327
