"";"ME";"MAE";"MPE";"MAPE";"MSE";"RMSE";"U"
"x";-1,643;3,168;-1,706;3,093;19,961;4,467;1,15173736520122
"x1";-4,015;4,057;-3,526;3,56;24,823;4,982;2,18995803831281
"x2";0,239;2,52;0,137;2,098;9,315;3,052;0,557599701535897
"x3";-1,199;8,591;-1,781;7,881;83,186;9,12;0,825734504906993
"x4";-2,721;5,76;-2,664;5,144;44,244;6,651;0,986194819687466
"x5";0,156;0,792;0,124;0,655;0,77;0,877;0,728246134538132
"x6";-4,38;7,727;-3,839;6,281;70,975;8,424;0,69990564226744
"x7";-2,734;2,888;-2,992;3,144;26,241;5,122;0,777731840092955
"x8";-1,919;2,359;-1,927;2,34;11,302;3,361;0,804076914945459
"x9";-0,266;5,539;-0,689;5,071;54,282;7,367;0,745780459178414
"x10";-0,516;1,791;-0,471;1,524;4,724;2,173;0,868507249294843
"x11";0,047;5,316;-0,297;4,419;48,979;6,998;0,666402948429013
"x12";-2,523;4,825;-2,452;4,42;29,575;5,438;0,958199936556078
"x13";-3,969;6,113;-3,275;4,828;52,349;7,235;1,00925335485194
"x14";0,979;0,979;3,079;3,079;1,297;1,139;2,64152407645346
"x15";0,244;0,578;0,19;0,456;0,505;0,71;0,724037455326342
"x16";-0,049;1,065;-0,06;0,945;2,192;1,48;0,675919515644849
"x17";-0,934;6,154;-1,222;5,692;43,759;6,615;0,86329255810625
"x18";-0,657;7,868;-1,496;7,982;84,372;9,185;0,68221074486966
"x19";-1,16;1,647;-0,875;1,231;2,884;1,698;0,791068151918398
"x20";-0,179;2,7;-0,238;2,444;9,357;3,059;0,890677545769866
"x21";-0,714;1,713;-0,49;1,141;4,712;2,17;0,772044957435117
"x22";-20,838;20,839;-19,658;19,659;601,893;24,533;2,49310887243756
"x23";0,28;6,48;-0,232;6,186;54,82;7,404;0,822735777347969
"x24";-1,349;1,502;-1,174;1,304;3,505;1,872;0,985434028416737
"x25";-1,184;2,325;-1,13;2,115;9,067;3,011;0,96597302853673
"x26";1,519;1,519;1,307;1,307;9,834;3,136;1,04556909490444
"x27";0,758;5,862;0,273;5,48;50,824;7,129;0,689936792804916
