"";"Belgium";"Bulgaria";"Czechia";"Denmark";"Germany";"Spain";"France";"Croatia";"Italy";"Luxembourg";"Hungary";"Netherlands";"Austria";"Poland";"Portugal";"Romania";"Slovenia";"Slovakia";"Finland";"Sweden"
"N:";51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"NaN:";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Min:";84,1;73,7;90,4;103,6;101,4;73,8;35,5;98,5;32,1;50,9;87,8;112,2;99,7;85,1;92,5;82,9;78,3;75;109,2;105
"1sq QU:";99,75;87,35;100,25;111;109,5;95,4;100;107,3;101,75;105,05;114,25;119,35;111,2;108,85;99,35;90,45;116,3;89,3;111,35;117,9
"Median:";101,6;89,3;103,8;113,9;111,5;103,7;102,2;115,7;103,5;108,7;137,4;125,7;117,3;115,9;101,1;103,7;128;94,5;113,1;121,5
"Mean:";100,25;88,81;103,99;114,15;111,82;99,82;98,98;116,54;102,05;106,59;132,61;124,53;117,15;113,46;100,85;107,4;124,28;93,11;113,08;120,12
"3rd QU:";102,7;90,4;108,6;116,6;113,7;105,2;103,35;124,05;106;111,45;150,65;128,25;122,3;122,2;102,9;127,3;134,25;97,55;114,4;123,05
"Max:";107,3;95,4;112,6;125,9;124,4;110;107,1;135,7;117,7;125,4;167,1;132,8;135,5;129,6;106,6;136,2;146,4;104,9;118,1;129,4
"VAR:";16,83;10,72;29,91;21,21;16,1;59,96;131,37;90,49;150,68;122,04;491,11;30,34;58,17;119,43;7,63;346,73;203,36;51,92;3,83;21,89
"SD:";4,1;3,27;5,46;4,6;4,01;7,74;11,46;9,51;12,27;11,04;22,16;5,5;7,62;10,92;2,76;18,62;14,26;7,2;1,95;4,67
"SE:";0,57;0,45;0,76;0,64;0,56;1,08;1,6;1,33;1,71;1,54;3,1;0,77;1,06;1,53;0,38;2,6;1,99;1;0,27;0,65
