TIME,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Norway,Switzerland
2017-01,121.5,101.4,111.9,95.8,100.5,120.0,104.0,131.4,105.5,107.5,120.5,111.4,114.6,114.7,99.2,106.4,116.2,74.2,111.4,108.4,97.0,121.1,108.1,103.3,113.0,97.2,99.8,99.4,110.5
2017-02,117.0,97.7,104.8,109.5,98.2,119.9,123.2,114.4,97.8,95.9,107.4,104.3,111.9,116.0,101.7,105.8,98.2,76.0,111.7,107.3,93.6,114.3,105.4,99.9,109.9,95.9,97.2,100.3,79.9
2017-03,118.9,91.3,102.0,109.6,94.6,124.3,120.5,99.9,92.3,94.9,102.0,97.4,110.0,119.1,94.8,104.8,95.8,86.1,111.5,104.4,91.7,117.9,105.1,94.6,108.6,97.8,98.8,97.1,92.4
2017-04,108.2,96.4,115.8,114.9,100.0,131.3,111.3,99.6,94.8,99.7,103.6,103.2,106.7,116.8,111.3,108.8,102.1,113.8,112.8,105.8,95.3,114.5,107.3,97.6,108.4,96.3,103.0,104.5,96.0
2017-05,116.5,98.0,102.1,104.6,103.6,149.0,108.6,106.6,97.7,100.5,100.2,102.7,106.0,116.9,108.4,104.7,101.5,91.7,105.6,106.4,98.3,119.3,104.4,96.5,112.1,98.6,100.8,104.8,93.3
2017-06,133.5,96.4,96.0,115.9,103.2,136.0,113.4,107.5,103.6,97.7,90.1,107.5,106.4,109.1,101.4,108.9,101.4,128.9,109.0,104.0,95.2,125.9,105.0,94.1,109.0,94.9,98.0,105.8,94.2
2017-07,135.6,95.9,93.1,97.8,98.9,120.7,112.6,107.9,97.5,99.0,101.0,102.6,117.3,108.5,99.9,107.6,98.5,128.4,110.0,110.6,95.8,140.0,102.5,97.9,111.2,94.8,101.6,105.5,94.5
2017-08,133.6,94.5,105.2,101.3,101.8,118.0,106.6,113.0,97.1,99.9,105.8,105.2,108.5,100.7,105.6,109.4,99.7,146.3,103.3,111.8,112.7,146.4,101.5,98.0,108.8,95.8,100.4,105.1,100.6
2017-09,130.4,94.3,114.3,93.5,98.6,112.2,114.1,101.6,94.8,102.8,110.5,98.2,110.7,118.7,100.7,106.5,97.3,195.5,102.8,113.2,96.5,126.7,102.6,99.3,112.3,99.9,99.9,103.3,103.8
2017-10,127.0,92.6,105.7,102.6,101.1,119.7,110.2,108.2,101.0,97.3,99.7,102.0,107.1,119.9,103.9,109.3,99.9,170.9,105.7,107.8,95.8,111.2,100.8,102.6,112.6,99.2,98.5,102.1,90.4
2017-11,122.3,93.0,110.3,102.5,100.5,116.3,109.4,114.2,105.8,101.1,109.8,107.9,110.0,114.1,98.9,103.0,100.0,107.5,105.0,113.4,95.6,112.8,102.1,99.7,112.1,100.5,104.7,102.1,98.9
2017-12,121.8,92.5,102.0,101.8,101.0,111.2,113.9,104.1,107.5,103.6,118.9,107.0,107.3,110.5,95.7,98.8,97.4,144.8,103.3,109.2,93.9,111.2,105.8,110.0,106.7,102.4,103.0,104.7,103.0
2018-01,112.2,92.4,94.2,97.3,95.9,106.5,112.7,101.4,94.6,95.1,103.6,91.6,106.6,120.6,102.8,96.2,93.3,102.8,109.2,117.2,99.7,114.0,99.4,99.8,103.0,100.8,98.7,101.6,94.2
2018-02,120.4,90.8,102.1,105.5,101.3,121.3,114.6,107.2,103.2,110.8,114.0,106.8,103.4,128.4,105.9,103.3,100.6,162.8,110.5,115.1,106.6,109.2,106.3,102.4,103.2,107.8,102.4,112.5,111.1
2018-03,122.2,92.7,113.9,123.3,101.1,138.6,115.5,113.6,106.9,107.1,113.2,109.5,105.9,114.4,116.7,103.6,101.6,115.9,109.6,119.2,109.5,143.1,110.5,105.2,103.2,110.8,102.1,107.5,107.2
