TIME,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Norway,Switzerland
2017-01,100.1,109.6,106.9,102.5,103.1,105,107,100.1,102.9,105.1,102.8,106.1,104.6,110.4,28.6,107,104.5,103.3,101.5,110.6,103.7,117.3,113,105.4,103.5,103.6,100.2,100.5
2017-02,98.4,109.9,108.3,101.8,103.7,103.8,107.5,103.4,103.4,105.7,104.1,108,103.6,110.8,29.7,107,104.2,102.5,101.1,109.6,104.7,119.3,113.9,105.4,103.5,103.1,101.3,100.6
2017-03,100.3,111.3,109.6,101.4,106.3,105.2,108.6,99.1,104.3,105.6,104.9,107.9,103.7,109.2,29.8,108.7,106.5,104,103.1,110.8,106.2,121,113.3,106.7,103.3,102.4,101.4,102.4
2017-04,99.8,109.9,109.5,102.5,104.7,107.1,108.8,101.2,105.2,105.3,102,110.6,105.6,110.6,30.7,108.9,108.4,103.9,101.5,109.8,106.5,120.6,111.4,107.3,104.4,102.6,101,98.3
2017-05,100.2,111.5,110.6,101.3,105.9,106.7,112,99.3,105.2,106.3,104.2,112,105.5,110.9,30.6,109.9,107.4,105,102.3,110.3,106.1,125,110.9,108.3,103.2,104.3,102.6,100.1
2017-06,100.7,111,111.4,101.4,105.8,107.2,111.4,101,105.7,105.8,106.3,111.8,105.3,110,30.3,110.2,108.2,105,103.3,111,107.7,123.2,111,109.1,104.6,103.9,102.5,100.5
2017-07,99.4,111.7,110.8,102.2,105.8,105.7,111.4,102.6,105.4,107.4,106.8,112,106.7,110.6,29.9,110.7,108,105.4,102.4,111.6,107.9,125.2,112.3,107.3,105,104.6,102.3,99.8
2017-08,99.2,112.1,111.6,101.7,105.3,105.6,111.7,99.4,105,106,107,112.1,108.2,111,29.6,111,108,104.5,101.6,112.6,107.2,128.8,111.3,109.6,105,103.8,101.9,99.3
2017-09,101.6,112.4,113.4,102.1,106.9,105.1,110.1,99.4,106.2,109.4,106,113.8,108.1,111.6,30.6,112.6,110,104.9,103.4,114,108.6,129,111.5,109.1,105.2,104.3,101.2,101.7
2017-10,99.7,112.8,111.9,102,106.1,105.9,111.8,101.2,102.6,106.2,105.5,114.1,108.2,111.9,29.5,112.1,108.5,105.3,100.7,114.3,106.2,128.4,112.9,108.7,105.5,105,101.6,99.5
2017-11,101.8,112.7,114,102.7,106.7,105.1,115.5,99.4,105.8,109.7,105.7,113.4,109,113.9,29.7,113.7,107.9,106.6,103.2,116.2,109.1,129.7,115.6,110.1,106.3,105.1,102.9,101.3
2017-12,100,114,113.6,103.1,108.8,107.1,112.5,101.9,105.4,108.4,105.8,113.4,109.8,115.3,28.2,114.6,110.7,105.3,100.7,116.6,109.7,131.9,112.8,112.2,106.4,105.9,102.7,100.8
2018-01,99.4,112.9,114.8,103.2,106,104.5,113.1,101.8,105.4,107.8,107.6,117.4,111.5,115.8,30.3,115.5,109.7,106.6,102.5,117.1,109.5,130.1,112.3,109.7,107.2,103.8,102,100.8
2018-02,100.7,113.8,114.7,102,105,105.2,112.6,103,105.4,108.8,103,115.8,107.3,114.2,30.2,114.7,108.7,105.4,101.3,117.5,109.5,126.5,111.7,111.1,105.9,102.9,102.5,100.9
